,B-SOiD labels,Start time (frames),Run lengths
893,9,2268,5
894,10,2273,2
895,2,2275,1
896,12,2276,1
897,11,2277,2
898,6,2279,1
899,8,2280,1
900,9,2281,3
901,5,2284,1
902,9,2285,1
903,11,2286,1
904,9,2287,2
905,0,2289,1
906,10,2290,3
907,2,2293,2
908,5,2295,3
909,10,2298,1
910,0,2299,4
911,1,2303,1
912,7,2304,4
913,11,2308,1
914,9,2309,1
915,11,2310,3
916,5,2313,1
917,11,2314,3
918,7,2317,1
919,10,2318,2
920,9,2320,3
921,1,2323,1
922,9,2324,1
923,1,2325,1
924,10,2326,2
925,1,2328,3
926,10,2331,1
927,9,2332,5
928,5,2337,1
929,11,2338,7
930,0,2345,1
931,10,2346,1
932,0,2347,1
933,2,2348,2
934,11,2350,4
935,5,2354,2
936,11,2356,1
937,10,2357,5
938,9,2362,2
939,2,2364,1
940,11,2365,1
941,8,2366,1
942,5,2367,1
943,10,2368,3
944,7,2371,1
945,2,2372,3
946,9,2375,3
947,2,2378,3
948,1,2381,1
949,7,2382,3
950,2,2385,1
951,7,2386,3
952,2,2389,5
953,9,2394,5
954,7,2399,1
955,2,2400,2
956,9,2402,1
957,2,2403,1
958,9,2404,11
959,5,2415,1
960,8,2416,1
961,11,2417,3
962,0,2420,1
963,1,2421,1
964,0,2422,1
965,9,2423,1
966,0,2424,1
967,10,2425,7
968,0,2432,1
969,7,2433,1
970,2,2434,3
971,10,2437,3
972,9,2440,1
973,11,2441,1
974,8,2442,1
975,11,2443,2
976,0,2445,1
977,2,2446,3
978,6,2449,1
979,11,2450,8
980,1,2458,2
981,2,2460,3
982,10,2463,1
983,2,2464,3
984,10,2467,1
985,2,2468,1
986,10,2469,2
987,11,2471,1
988,2,2472,1
989,10,2473,4
990,2,2477,1
991,11,2478,2
992,1,2480,1
993,11,2481,1
994,1,2482,1
995,10,2483,1
996,1,2484,1
997,10,2485,1
998,2,2486,2
999,9,2488,71
1000,2,2559,3
1001,7,2562,4
1002,2,2566,1
1003,7,2567,1
1004,9,2568,1
1005,7,2569,1
1006,2,2570,2
1007,10,2572,1
1008,13,2573,1
1009,9,2574,7
1010,6,2581,1
1011,13,2582,1
1012,10,2583,1
1013,9,2584,4
1014,13,2588,1
1015,9,2589,3
1016,14,2592,1
1017,10,2593,3
1018,2,2596,5
1019,1,2601,2
1020,11,2603,2
1021,1,2605,2
1022,11,2607,3
1023,5,2610,1
1024,1,2611,2
1025,8,2613,1
1026,1,2614,1
1027,11,2615,9
1028,2,2624,1
1029,10,2625,2
1030,2,2627,1
1031,10,2628,1
1032,13,2629,1
1033,2,2630,3
1034,11,2633,1
1035,8,2634,1
1036,11,2635,6
1037,8,2641,2
1038,11,2643,3
1039,5,2646,1
1040,11,2647,1
1041,10,2648,2
1042,2,2650,1
1043,11,2651,3
1044,0,2654,1
1045,11,2655,1
1046,5,2656,2
1047,1,2658,2
1048,10,2660,10
1049,7,2670,3
1050,2,2673,1
1051,10,2674,3
1052,2,2677,1
1053,10,2678,1
1054,2,2679,3
1055,11,2682,9
1056,8,2691,1
1057,0,2692,1
1058,7,2693,1
1059,2,2694,2
1060,11,2696,2
1061,2,2698,1
1062,11,2699,9
1063,0,2708,3
1064,9,2711,4
1065,10,2715,1
1066,2,2716,2
1067,9,2718,1
1068,7,2719,8
1069,9,2727,3
1070,11,2730,10
1071,1,2740,3
1072,9,2743,2
1073,0,2745,2
1074,11,2747,6
1075,0,2753,1
1076,1,2754,4
1077,10,2758,4
1078,9,2762,2
1079,2,2764,2
1080,9,2766,2
1081,8,2768,1
1082,0,2769,5
1083,6,2774,1
1084,0,2775,2
1085,5,2777,1
1086,0,2778,1
1087,5,2779,5
1088,8,2784,1
1089,5,2785,1
1090,1,2786,1
1091,10,2787,1
1092,9,2788,1
1093,13,2789,1
1094,14,2790,1
1095,9,2791,9
1096,2,2800,13
1097,11,2813,1
1098,1,2814,2
1099,11,2816,1
1100,1,2817,3
1101,6,2820,1
1102,3,2821,1
1103,10,2822,2
1104,9,2824,3
1105,10,2827,1
1106,5,2828,1
1107,9,2829,1
1108,8,2830,1
1109,1,2831,2
1110,6,2833,1
1111,2,2834,1
1112,0,2835,1
1113,6,2836,1
1114,11,2837,9
1115,6,2846,1
1116,0,2847,1
1117,10,2848,2
1118,5,2850,1
1119,10,2851,4
1120,11,2855,4
1121,5,2859,1
1122,10,2860,2
1123,13,2862,1
1124,9,2863,1
1125,2,2864,1
1126,9,2865,1
1127,2,2866,1
1128,9,2867,2
1129,2,2869,3
1130,0,2872,1
1131,8,2873,1
1132,11,2874,2
1133,8,2876,1
1134,11,2877,1
1135,0,2878,1
1136,2,2879,1
1137,7,2880,5
1138,5,2885,1
1139,8,2886,1
1140,11,2887,1
1141,8,2888,1
1142,5,2889,2
1143,6,2891,1
1144,1,2892,4
1145,10,2896,1
1146,7,2897,2
1147,2,2899,6
1148,7,2905,1
1149,0,2906,1
1150,9,2907,2
1151,0,2909,1
1152,1,2910,9
1153,0,2919,1
1154,1,2920,2
1155,2,2922,2
1156,9,2924,1
1157,14,2925,1
1158,9,2926,4
1159,0,2930,4
1160,1,2934,5
1161,6,2939,4
1162,1,2943,4
1163,0,2947,1
1164,9,2948,20
1165,5,2968,1
1166,9,2969,3
1167,11,2972,7
1168,10,2979,1
1169,2,2980,3
1170,0,2983,1
1171,10,2984,3
1172,0,2987,1
1173,1,2988,3
