,B-SOiD labels,Start time (frames),Run lengths
1284,10,3124,3
1285,7,3127,2
1286,10,3129,1
1287,9,3130,3
1288,10,3133,1
1289,9,3134,3
1290,1,3137,1
1291,10,3138,2
1292,1,3140,2
1293,5,3142,3
1294,1,3145,2
1295,10,3147,2
1296,7,3149,2
1297,2,3151,3
1298,10,3154,5
1299,2,3159,8
1300,11,3167,6
1301,8,3173,1
1302,11,3174,7
1303,1,3181,1
1304,11,3182,1
1305,5,3183,2
1306,11,3185,2
1307,5,3187,8
1308,1,3195,1
1309,10,3196,2
1310,1,3198,1
1311,2,3199,3
1312,1,3202,3
1313,2,3205,1
1314,9,3206,8
1315,0,3214,1
1316,8,3215,3
1317,5,3218,4
1318,9,3222,2
1319,5,3224,1
1320,1,3225,1
1321,9,3226,2
1322,8,3228,1
1323,11,3229,20
1324,1,3249,3
1325,7,3252,1
1326,10,3253,2
1327,1,3255,6
1328,9,3261,3
1329,0,3264,1
1330,7,3265,7
1331,1,3272,2
1332,10,3274,1
1333,7,3275,1
1334,2,3276,1
1335,7,3277,1
1336,10,3278,1
1337,7,3279,1
1338,2,3280,1
1339,11,3281,1
1340,2,3282,4
1341,11,3286,3
1342,5,3289,4
1343,1,3293,2
1344,11,3295,1
1345,1,3296,1
1346,5,3297,2
1347,8,3299,2
1348,5,3301,7
1349,1,3308,1
1350,11,3309,1
1351,1,3310,1
1352,11,3311,2
1353,7,3313,1
1354,1,3314,1
1355,10,3315,4
1356,1,3319,1
1357,9,3320,1
1358,1,3321,1
1359,5,3322,1
1360,1,3323,4
1361,10,3327,1
1362,1,3328,4
1363,5,3332,2
1364,1,3334,4
1365,0,3338,2
1366,7,3340,1
1367,9,3341,4
1368,0,3345,1
1369,8,3346,1
1370,1,3347,1
1371,0,3348,1
1372,1,3349,1
1373,8,3350,1
1374,1,3351,1
1375,11,3352,1
1376,0,3353,1
1377,5,3354,1
1378,11,3355,1
1379,12,3356,1
1380,3,3357,1
1381,11,3358,1
1382,2,3359,2
1383,0,3361,1
1384,2,3362,2
1385,7,3364,1
1386,10,3365,1
1387,7,3366,1
1388,10,3367,1
1389,7,3368,1
1390,2,3369,1
1391,7,3370,1
1392,10,3371,6
1393,7,3377,1
1394,2,3378,1
1395,11,3379,1
1396,5,3380,2
1397,1,3382,1
1398,5,3383,2
1399,1,3385,2
1400,5,3387,3
1401,11,3390,1
1402,2,3391,1
1403,11,3392,1
1404,5,3393,2
1405,11,3395,4
1406,10,3399,1
1407,7,3400,1
1408,2,3401,1
1409,7,3402,2
1410,2,3404,3
1411,0,3407,1
1412,11,3408,17
1413,5,3425,1
1414,1,3426,8
1415,9,3434,2
1416,0,3436,1
1417,8,3437,1
1418,0,3438,2
1419,9,3440,6
1420,2,3446,4
1421,6,3450,1
1422,1,3451,2
1423,9,3453,2
1424,1,3455,1
1425,7,3456,6
1426,2,3462,5
1427,7,3467,1
1428,10,3468,1
1429,7,3469,3
1430,2,3472,14
1431,9,3486,1
1432,7,3487,1
1433,9,3488,2
1434,1,3490,2
1435,5,3492,1
1436,1,3493,1
1437,9,3494,2
1438,1,3496,2
1439,9,3498,2
1440,5,3500,1
1441,11,3501,7
1442,5,3508,2
1443,10,3510,6
1444,7,3516,8
1445,2,3524,3
1446,11,3527,8
1447,6,3535,1
1448,9,3536,1
1449,5,3537,1
1450,2,3538,17
1451,9,3555,1
1452,2,3556,1
1453,7,3557,1
1454,2,3558,3
1455,11,3561,12
1456,8,3573,1
1457,10,3574,1
1458,2,3575,3
1459,11,3578,3
1460,1,3581,4
1461,10,3585,4
1462,7,3589,1
1463,2,3590,1
1464,7,3591,1
1465,1,3592,1
1466,0,3593,3
1467,1,3596,5
1468,8,3601,2
1469,1,3603,1
1470,11,3604,1
1471,5,3605,1
1472,1,3606,1
1473,5,3607,3
1474,1,3610,4
1475,10,3614,2
1476,1,3616,2
1477,10,3618,3
1478,7,3621,2
1479,1,3623,3
1480,7,3626,2
1481,1,3628,3
1482,2,3631,2
1483,10,3633,1
1484,2,3634,6
1485,10,3640,1
1486,2,3641,3
1487,7,3644,1
1488,2,3645,15
1489,9,3660,1
1490,2,3661,18
1491,7,3679,3
1492,2,3682,3
1493,7,3685,1
1494,2,3686,9
1495,7,3695,2
1496,2,3697,17
1497,1,3714,1
1498,9,3715,3
1499,1,3718,2
1500,2,3720,2
1501,1,3722,4
1502,2,3726,2
1503,1,3728,15
1504,9,3743,5
1505,2,3748,3
1506,7,3751,2
1507,2,3753,1
1508,7,3754,1
1509,10,3755,2
1510,7,3757,1
1511,2,3758,1
1512,7,3759,1
1513,2,3760,5
1514,9,3765,5
1515,10,3770,1
1516,2,3771,1
1517,9,3772,1
1518,10,3773,1
1519,1,3774,1
1520,7,3775,1
1521,2,3776,1
1522,9,3777,1
1523,2,3778,6
1524,11,3784,4
1525,1,3788,1
1526,10,3789,1
